Processors	Process	Node		Points	Threads	Construction	Distribution
4		1	ct1pt-tnode006	4095	4	0.2265	0.0410191
4		0	ct1pt-tnode006	4095	4	0.200926	0.0404626
4		3	ct1pt-tnode010	4095	4	0.228177	0.0417569
4		2	ct1pt-tnode010	4095	4	0.200716	0.0802571
4		1	ct1pt-tnode006	32767	4	0.0536222	0.139342
4		0	ct1pt-tnode006	32767	4	0.0270265	0.134764
4		3	ct1pt-tnode010	32767	4	0.0475615	0.13928
4		2	ct1pt-tnode010	32767	4	0.0275117	0.139225
4		1	ct1pt-tnode006	262143	4	0.537051	0.478826
4		0	ct1pt-tnode006	262143	4	0.467553	0.442521
4		3	ct1pt-tnode010	262143	4	0.255295	0.0744543
4		2	ct1pt-tnode010	262143	4	0.248764	0.0744458
4		1	ct1pt-tnode006	2097151	4	3.82893	12.8599
4		0	ct1pt-tnode006	2097151	4	3.86553	12.57
4		3	ct1pt-tnode010	2097151	4	5.76858	12.7692
4		2	ct1pt-tnode010	2097151	4	5.73834	12.7692
4		1	ct1pt-tnode006	16777215	4	59.322	121.267
4		0	ct1pt-tnode006	16777215	4	42.6925	118.91
4		3	ct1pt-tnode010	16777215	4	42.3778	121.08
4		2	ct1pt-tnode010	16777215	4	59.64	121.08
4		1	ct1pt-tnode006	134217727	4	607.654	1079.07
4		0	ct1pt-tnode006	134217727	4	443.177	1060.18
4		3	ct1pt-tnode010	134217727	4	427.331	1079.55
4		2	ct1pt-tnode010	134217727	4	599.586	1079.55
4		1	ct1pt-tnode006	7	8	3.19741	3.12095
4		0	ct1pt-tnode006	7	8	0.0970723	3.11936
4		3	ct1pt-tnode010	7	8	3.15273	3.14794
4		2	ct1pt-tnode010	7	8	0.0977518	3.14777
4		1	ct1pt-tnode006	63	8	8.7135e-05	5.0854e-05
4		0	ct1pt-tnode006	63	8	0.000106392	3.767e-05
4		3	ct1pt-tnode010	63	8	9.3945e-05	8.7929e-05
4		2	ct1pt-tnode010	63	8	9.9075e-05	7.9677e-05
4		0	ct1pt-tnode006	511	8	0.000220482	0.00119989
4		1	ct1pt-tnode006	511	8	0.000390682	0.0972486
4		3	ct1pt-tnode010	511	8	0.000386775	0.100319
4		2	ct1pt-tnode010	511	8	0.000403848	0.00130855
4		0	ct1pt-tnode006	4095	8	0.00214635	0.022666
4		1	ct1pt-tnode006	4095	8	0.11449	0.0232341
4		3	ct1pt-tnode010	4095	8	0.00414482	0.0239577
4		2	ct1pt-tnode010	4095	8	0.00414984	0.0437116
4		0	ct1pt-tnode006	32767	8	0.226414	0.134783
4		1	ct1pt-tnode006	32767	8	0.152976	0.139309
4		3	ct1pt-tnode010	32767	8	0.369867	0.139236
4		2	ct1pt-tnode010	32767	8	0.316284	0.139217
4		0	ct1pt-tnode006	262143	8	0.361356	0.446562
4		1	ct1pt-tnode006	262143	8	0.436477	0.482829
4		3	ct1pt-tnode010	262143	8	0.19333	0.0892643
4		2	ct1pt-tnode010	262143	8	0.195571	0.0783672
4		0	ct1pt-tnode006	2097151	8	2.49581	12.5666
4		1	ct1pt-tnode006	2097151	8	2.43353	12.8564
