Processors	Process	Node		Points	Threads	Construction	Distribution
4		3	ct1pt-tnode007	134217727	6	9.83344	3.1333
4		2	ct1pt-tnode007	134217727	6	7.25291	3.13343
4		0	ct1pt-tnode006	32767	8	0.285159	1.19974
4		1	ct1pt-tnode006	32767	8	1.21114	1.20105
4		3	ct1pt-tnode007	32767	8	1.16308	1.2478
4		2	ct1pt-tnode007	32767	8	0.224674	1.2478
4		0	ct1pt-tnode006	262143	8	0.0150957	0.107016
4		1	ct1pt-tnode006	262143	8	0.0190713	0.109479
4		3	ct1pt-tnode007	262143	8	0.014669	0.108893
4		2	ct1pt-tnode007	262143	8	0.0210134	0.108891
4		0	ct1pt-tnode006	2097151	8	0.108666	0.420172
4		1	ct1pt-tnode006	2097151	8	0.155864	0.443427
4		2	ct1pt-tnode007	2097151	8	0.101229	0.443414
4		3	ct1pt-tnode007	2097151	8	0.104356	0.443419
4		0	ct1pt-tnode006	16777215	8	1.36012	1.39443
4		1	ct1pt-tnode006	16777215	8	1.35697	1.57658
4		2	ct1pt-tnode007	16777215	8	1.44157	0.393828
4		3	ct1pt-tnode007	16777215	8	0.62895	0.392693
4		0	ct1pt-tnode006	134217727	8	12.0531	11.6915
4		1	ct1pt-tnode006	134217727	8	12.585	13.148
4		2	ct1pt-tnode007	134217727	8	5.48942	3.12696
4		3	ct1pt-tnode007	134217727	8	8.06733	3.12683
4		0	ct1pt-tnode006	32767	10	0.144255	1.20949
4		1	ct1pt-tnode006	32767	10	1.21328	1.2106
4		2	ct1pt-tnode007	32767	10	0.173571	1.21817
4		3	ct1pt-tnode007	32767	10	1.18225	1.21817
4		0	ct1pt-tnode006	262143	10	0.0152941	0.0774046
4		1	ct1pt-tnode006	262143	10	0.024296	0.0798829
4		2	ct1pt-tnode007	262143	10	0.0252555	0.0936833
4		3	ct1pt-tnode007	262143	10	0.0161787	0.0936845
4		0	ct1pt-tnode006	2097151	10	0.0938698	0.416594
4		1	ct1pt-tnode006	2097151	10	0.15237	0.439829
4		2	ct1pt-tnode007	2097151	10	0.100309	0.439853
4		3	ct1pt-tnode007	2097151	10	0.0977821	0.439856
4		0	ct1pt-tnode006	16777215	10	1.3327	1.39491
4		1	ct1pt-tnode006	16777215	10	1.30873	1.57715
4		2	ct1pt-tnode007	16777215	10	1.34381	0.39579
4		3	ct1pt-tnode007	16777215	10	0.561783	0.395705
4		0	ct1pt-tnode006	134217727	10	11.8565	11.6761
4		1	ct1pt-tnode006	134217727	10	11.6556	13.1278
4		2	ct1pt-tnode007	134217727	10	4.43854	3.11934
4		3	ct1pt-tnode007	134217727	10	6.84988	3.1192
4		0	ct1pt-tnode006	32767	12	0.224797	1.21358
4		1	ct1pt-tnode006	32767	12	1.29205	1.21489
4		2	ct1pt-tnode007	32767	12	0.179566	1.18684
4		3	ct1pt-tnode007	32767	12	1.21712	1.18683
4		0	ct1pt-tnode006	262143	12	0.0628189	0.0618162
4		1	ct1pt-tnode006	262143	12	0.0265131	0.0643009
4		2	ct1pt-tnode007	262143	12	0.0260261	0.0810993
4		3	ct1pt-tnode007	262143	12	0.0216222	0.0810983
4		1	ct1pt-tnode006	2097151	12	0.152228	0.44061
4		0	ct1pt-tnode006	2097151	12	0.102698	0.417388
4		2	ct1pt-tnode007	2097151	12	0.106298	0.440426
4		3	ct1pt-tnode007	2097151	12	0.101856	0.440428
4		1	ct1pt-tnode006	16777215	12	1.27692	1.57609
4		0	ct1pt-tnode006	16777215	12	1.27104	1.3939
4		2	ct1pt-tnode007	16777215	12	1.30368	0.392109
4		3	ct1pt-tnode007	16777215	12	0.468149	0.392093
4		1	ct1pt-tnode006	134217727	12	11.114	13.1395
4		0	ct1pt-tnode006	134217727	12	10.968	11.6869
4		2	ct1pt-tnode007	134217727	12	3.75543	3.13409
4		3	ct1pt-tnode007	134217727	12	6.95877	3.15488
8		0	ct1pt-tnode006	32767	1	0.00210574	0.0107208
8		4	ct1pt-tnode008	32767	1	0.0021637	0.0214503
8		6	ct1pt-tnode009	32767	1	0.00206224	0.0204643
8		2	ct1pt-tnode007	32767	1	0.00214574	0.0111031
8		1	ct1pt-tnode006	32767	1	0.00235083	0.0111527
8		5	ct1pt-tnode008	32767	1	0.00215859	0.0214861
8		7	ct1pt-tnode009	32767	1	0.0022113	0.0143943
8		3	ct1pt-tnode007	32767	1	0.00238177	0.01228
8		0	ct1pt-tnode006	262143	1	0.017315	0.00506744
8		1	ct1pt-tnode006	262143	1	0.0194429	0.00140078
8		7	ct1pt-tnode009	262143	1	0.0208892	0.018808
8		2	ct1pt-tnode007	262143	1	0.024878	0.00958061
8		6	ct1pt-tnode009	262143	1	0.0253073	0.0233512
8		4	ct1pt-tnode008	262143	1	0.0213214	0.0287794
8		3	ct1pt-tnode007	262143	1	0.0248988	0.0050897
8		5	ct1pt-tnode008	262143	1	0.0223168	0.020486
8		0	ct1pt-tnode006	2097151	1	0.266479	0.223091
8		1	ct1pt-tnode006	2097151	1	0.278547	0.246264
8		7	ct1pt-tnode009	2097151	1	0.26858	0.244097
8		4	ct1pt-tnode008	2097151	1	0.238399	0.242728
8		6	ct1pt-tnode009	2097151	1	0.263386	0.244073
8		5	ct1pt-tnode008	2097151	1	0.24427	0.242718
8		2	ct1pt-tnode007	2097151	1	0.244521	0.247576
8		3	ct1pt-tnode007	2097151	1	0.243255	0.247537
8		0	ct1pt-tnode006	16777215	1	2.70823	3.83783
8		1	ct1pt-tnode006	16777215	1	2.76669	4.02007
8		7	ct1pt-tnode009	16777215	1	2.64126	4.57724
8		4	ct1pt-tnode008	16777215	1	2.68261	4.53983
8		6	ct1pt-tnode009	16777215	1	2.66204	4.57732
8		5	ct1pt-tnode008	16777215	1	2.74422	4.53983
8		2	ct1pt-tnode007	16777215	1	2.65609	4.5417
8		3	ct1pt-tnode007	16777215	1	2.64866	4.54172
